Musical,Movie,IMDb,RottenTomatoes,TonyNominatedMusical
13 (2007),13: The Musical (2022),5.2,58%,False
1776 (1969),1776 (1972),7.6,68%,True
"Alma, Where Do You Live? (1910)","Alma, Where Do You Live? (1917)",,,False
Animal Crackers (1928),Animal Crackers (1930),7.4,97%,False
Annie (1976),Annie (1982),6.6,49%,True
Annie (1976),Annie: A Royal Adventure! (1995),5.0,,True
Annie (1976),Annie (1999),6.7,,True
Annie (1976),Annie (2014),5.4,28%,True
Annie Get Your Gun (1946),Annie Get Your Gun (1950),6.8,100%,False
Annie Get Your Gun (1946),Annie Get Your Gun (1957),7.5,,False
Annie Get Your Gun (1946),Annie Get Your Gun (1967),7.2,,False
Anything Goes (1934),Anything Goes (1936),6.2,,False
Anything Goes (1934),Anything Goes (1956),6.0,,False
Are You with It? (1945),Are You with It? (1939),,,False
Av. Larco: El Musical,Av. Larco (2017),6.0,,False
Babes in Arms (1937),Babes in Arms (1939),6.3,90%,False
Balalaika (1936),Balalaika (1939),6.2,,False
The Band Wagon (1931),Dancing in the Dark (1949),5.4,,False
The Band Wagon (1931),The Band Wagon (1953),7.4,95%,False
Beatlemania (1977),Beatlemania: The Movie (1981),,,False
Been So Long (2009),Been So Long (2018),5.6,92%,False
Bells Are Ringing (1956),Bells Are Ringing (1960),6.9,82%,True
Best Foot Forward (1941),Best Foot Forward (1943),6.4,,False
The Best Little Whorehouse in Texas (1978),The Best Little Whorehouse in Texas (1982),6.1,52%,True
The Better 'Ole (1917),The Romance of Old Bill (1918),,,False
The Better 'Ole (1917),The Better 'Ole (1926),6.2,,False
Big Boy (1925),Big Band (1930),,,False
Black Nativity (1961),Black Nativity (2013),4.8,51%,False
The Boy Friend (1953),The Boy Friend (1971),6.8,88%,False
The Boys from Syracuse (1938),The Boys from Syracuse (1940),5.9,,False
Bran Nue Dae (1990),Bran Nue Dae (2009),6.2,56%,False
Brigadoon (1947),Brigadoon (1954),6.8,79%,False
Brigadoon (1947),Brigadoon (1966),7.5,,False
Bye Bye Birdie (1960),Bye Bye Birdie (1963),6.6,87%,True
Bye Bye Birdie (1960),Bye Bye Birdie (1995),5.8,,True
Cabaret (1966),Cabaret (1972),7.8,92%,True
Cabin in the Sky (1940),Cabin in the Sky (1943),7.1,81%,False
Camelot (1960),Camelot (1967),6.6,39%,False
Can-Can (1953),Can-Can (1960),6.3,,False
Carmen Jones (1943),Carmen Jones (1954),6.7,72%,False
Carousel (1945),Carousel (1956),6.6,71%,False
Carousel (1945),Carousel (1967),7.2,,False
The Cat and the Fiddle (1931),The Cat and the Fiddle (1934),6.3,,False
Chicago (1975),Chicago (2002),7.2,87%,True
A Chorus Line (1975),A Chorus Line (1985),6.2,48%,True
The City Club,Dark Streets (2008),4.4,19%,False
The Cocoanuts (1925),The Cocoanuts (1929),6.8,95%,False
Cyrano (2018),Cyrano (2021),6.4,85%,False
Damn Yankees (1955),Damn Yankees (1958),7.0,79%,True
Damn Yankees (1955),Damn Yankees! (1967),6.8,,True
"Darling, I Love You (1930)",The Deputy Drummer (1935),6.1,,False
Dear Evan Hansen (2015),Dear Evan Hansen (2021),6.1,28%,True
Dreamgirls (1981),Dreamgirls (2006),6.6,79%,True
Don't Play Us Cheap (1970),Don't Play Us Cheap (1973),,,False
Du Barry Was a Lady (1939),Du Barry Was a Lady (1943),6.1,,False
Ever Green (1930),Evergreen (1934),6.6,83%,False
Everybody's Talking About Jamie (2017),Everybody's Talking About Jamie (2021),6.6,81%,False
Fanny (1954),Fanny (1968),4.5,,False
The Fantasticks (1960),The Fantasticks (2000),5.6,50%,False
Fiddler on the Roof (1964),Fiddler on the Roof (1971),8.0,81%,True
Fifty Million Frenchmen (1929),50 Million Frenchmen (1931),5.3,,False
Finian's Rainbow (1947),Finian's Rainbow (1968),6.1,50%,False
Flower Drum Song (1958),Flower Drum Song (1961),6.9,79%,True
Flying High (1930),Flying High (1931),5.6,,False
